"From","To","weight"
"Tang, Qiong","Chen, Chuanfu",2
"Tang, Qiong","Chiu, Kuei",2
"Tang, Qiong","Sun, Kai",2
"Bozanis, Panayiotis","Katsaros, Dimitrios",2
"Bozanis, Panayiotis","Akritidis, Leonidas",2
"Allesina, Stefano","Parker, John N.",2
"Maria Cavero, Jose","Caceres, Paloma",2
"Maria Cavero, Jose","Vela, Belen",2
"Takeda, Yoshiyuki","Matsushima, Katsumori",2
"Takeda, Yoshiyuki","Kajikawa, Yuya",4
"Janssen, Ruud","Bondarenko, Olha",2
"Grupp, H","Hinze, S",2
"Grupp, H","Schmoch, U",2
"Bigdeli, Zahed","Gazni, Ali",2
"Li, Jiang","Qiao, Lili",2
"Li, Jiang","Huang, Cui",2
"Li, Jiang","Zhao, Star X.",2
"Li, Jiang","Jin, Yidan",2
"Li, Jiang","Ye, Fred Y.",3
"Li, Jiang","Shi, Dongbo",2
"Li, Jiang","Li, Wenyuze",2
"Li, Jiang","Su, Jun",2
"Li, Jiang","Xie, Xiang",2
"Hicks, D","Katz, JS",2
"Magee, Christopher L.","Benson, Christopher L.",2
"Zhao, Star X.","Tan, Alice M.",3
"Zhao, Star X.","Ye, Fred Y.",6
"Zhao, Star X.","Rousseau, Ronald",2
"Yaari, Eti","Bar-Ilan, Judit",2
"Yaari, Eti","Levene, Mark",2
"Yaari, Eti","Keenoy, Kevin",2
"Cabral, Jose A. S.","Vieira, Elizabeth S.",2
"Cabral, Jose A. S.","Gomes, Jose A. N. F.",2
"Bruins, EEW","Rinia, EJ",2
"Bruins, EEW","van Vuren, HG",2
"Bruins, EEW","van Raan, AFJ",2
"Bruins, EEW","van Leeuwen, TN",2
"Moreno, Luz","Bordons, Maria",2
"Moreno, Luz","Morillo, Fernanda",2
"Moreno, Luz","Gonzalez-Albo, Borja",3
"Moreno, Luz","Aparicio, Javier",2
"Hedman, Juha","Kivinen, Osmo",2
"Song, Min","Jeong, Yoo Kyung",4
"Song, Min","Kim, Chang Ouk",2
"Song, Min","Heo, Go Eun",4
"Song, Min","Zhang, Guo",2
"Song, Min","Kim, Ha Jin",2
"Song, Min","Kim, Su Yeon",2
"Song, Min","Ding, Ying",5
"Song, Min","Chambers, Tamy",2
"Yang, CC","Li, KW",4
"Tijssen, RJW","Visser, MS",2
"Tijssen, RJW","van Leeuwen, TN",3
"Rodriguez, Marko A.","Pepe, Alberto",3
"Rodriguez, Marko A.","Bollen, Johan",2
"BURGER, WJM","MOED, HF",2
"BURGER, WJM","FRANKFORT, JG",2
"BURGER, WJM","VANRAAN, AFJ",2
"Zhang, Lin","Janssens, Frizo",2
"Zhang, Lin","Rousseau, Ronald",4
"Zhang, Lin","Thijs, Bart",3
"Zhang, Lin","Glanzel, Wolfgang",10
"Zhang, Lin","Liang, Liming",3
"Zhang, Lin","Glaenzel, Wolfgang",2
"Nemtsov, AV","Zorin, NA",2
"Guan, Jiancheng","Chen, Kaihua",2
"Guan, Jiancheng","Zhao, Qingjun",3
"Guan, Jiancheng","Zhu, Wenjia",2
"Guan, Jiancheng","Gao, Xia",7
"Guan, Jiancheng","Ma, Nan",2
"Guan, Jiancheng","Zhang, Jingjing",2
"Guan, Jiancheng","He, Ying",2
"Guan, Jiancheng","Chen, Zifeng",2
"Guan, Jiancheng","Yan, Yan",2
"Guan, Jiancheng","Wang, Gangbo",2
"Pudovkin, AI","Garfield, E",2
"Niemi, Timo","Nappila, Turkka",2
"Fu, Hui-Zhen","Ho, Yuh-Shan",6
"Gulbrandsen, Magnus","Klitkou, Antje",2
"Chiang, Chun-Hao","Hsu, Chien-Lung",2
"Martinez, M. A.","Herrera-Viedma, E.",2
"Martinez, M. A.","Herrera, M.",2
"Mastrogiacomo, Luca","Galetto, Maurizio",3
"Mastrogiacomo, Luca","Franceschini, Fiorenzo",11
"Mastrogiacomo, Luca","Maisano, Domenico",11
"Kantor, Paul","Strzalkowski, Tomek",3
"Kantor, Paul","Wacholder, Nina",3
"Kantor, Paul","Kelly, Diane",2
"Kantor, Paul","Rittman, Robert",3
"Kantor, Paul","Bai, Bing",2
"Kantor, Paul","Small, Sharon",2
"Kantor, Paul","Sun, Ying",3
"Bailon-Moreno, Rafael","Jimenez-Contreras, Evaristo",2
"Bailon-Moreno, Rafael","Ruiz-Banos, Rosario",2
"Grossman, D","Frieder, O",3
"Gagolewski, Marek","Mesiar, Radko",2
"Bollen, Johan","Tang, Jie",2
"Bollen, Johan","Ding, Ying",2
"Bollen, Johan","de Sompel, Herbert Van",2
"Duan, Zhiguang","Yu, Qi",2
"de Nooy, Wouter","Leydesdorff, Loet",2
"Pan, Bing","Gay, Geri",2
"RAO, IKR","EGGHE, L",2
"Huang, Sheng-Cheng","Bias, Randolph G.",2
"Molinari, Alain","Molinari, Jean-Francois",2
"Roychowdhury, Vwani P.","Simkin, Mikhail V.",2
"Thijs, Bart","Schubert, Andras",3
"Thijs, Bart","Glanzel, Wolfgang",12
"Thijs, Bart","Zhou, Ping",2
"Thijs, Bart","Glaenzel, Wolfgang",7
"Thijs, Bart","Debackere, Koenraad",5
"Acarturk, Cengiz","Alasehir, Oguzhan",2
"Haustein, Stefanie","Sugimoto, Cassidy R.",2
"Haustein, Stefanie","Peters, Isabella",2
"Haustein, Stefanie","Lariviere, Vincent",3
"Haustein, Stefanie","Thelwall, Mike",2
"Zhai, Li","Yan, Xiangbin",4
"Zhai, Li","Fan, Weiguo",2
"Bornmann, L","Daniel, HD",2
"Melin, G","Persson, O",3
"Romero-Frias, Esteban","Vaughan, Liwen",4
"Martin-Sempere, M. Jose","Rey-Rocha, Jesus",2
"Martin-Sempere, M. Jose","Garzon-Garcia, Belen",2
"Yu, Da-Ren","Yu, Guang",2
"Marty, Paul F.","Hinnant, Charles C.",2
"Marty, Paul F.","Worrall, Adam",2
"Marty, Paul F.","Kazmer, Michelle M.",2
"Marty, Paul F.","Burnett, Kathleen",2
"Marty, Paul F.","Stvilia, Besiki",2
"Marty, Paul F.","Burnett, Gary",2
"Robert, Claude","Wilson, Concepcion S.",2
"Robert, Claude","Arreto, Charles-Daniel",2
"Robert, Claude","Gaudy, Jean-Francois",2
"Zhuang, Yanhua","Hong, Song",2
"Scharnhorst, Andrea","Borner, Katy",2
"Wu, Chong","Li, Yongli",2
"Tsuji, Keita","Yoshikane, Fuyuki",2
"Ning, Lutao","Wang, Yuandi",2
"Gazni, Ali","Didegah, Fereshteh",4
"GARG, KC","SHARMA, P",2
"Czerwon, HJ","Glanzel, W",4
"Czerwon, HJ","Schubert, A",3
"Brown, Susan A.","Hu, Paul Jen-Hwa",2
"Luwel, M","Verbeek, A",2
"Luwel, M","Moed, HF",4
"Luwel, M","Debackere, K",3
"Yao, Lan","Lyu, Peng-Hui",2
"Yao, Lan","Yao, Qiang",2
"Huang, Mu-Hsuan","Chang, Han-Wen",3
"Huang, Mu-Hsuan","Fu, Jun-Ying",3
"Huang, Mu-Hsuan","Zhao, Yun-Hua",7
"Huang, Mu-Hsuan","Lin, Wen-Yau Cathy",2
"Huang, Mu-Hsuan","Zheng, Jia",2
"Huang, Mu-Hsuan","Chen, Ssu-Han",2
"Huang, Mu-Hsuan","Huang, Wei-Tzu",2
"Huang, Mu-Hsuan","Chen, Dar-Zen",31
"Huang, Mu-Hsuan","Zhang, Xu",6
"Huang, Mu-Hsuan","Chen, Ching-Yi",2
"Huang, Mu-Hsuan","Lei, Xiao-Ping",3
"Huang, Mu-Hsuan","Wang, Chun-Chieh",4
"Huang, Mu-Hsuan","Kuan, Chung-Huei",4
"Huang, Mu-Hsuan","Lin, Chang-Pin",3
"Huang, Mu-Hsuan","Sung, Hui-Yun",4
"Huang, Mu-Hsuan","Yang, Hsiao-Wen",2
"Huang, Mu-Hsuan","Zhang, Jing",2
"Huang, Mu-Hsuan","Chang, Yu-Wei",3
"Huang, Mu-Hsuan","Lin, Chi-Shiou",2
"Huang, Mu-Hsuan","Zhao, Zhi-Yun",3
"Huang, Mu-Hsuan","Dong, Huei-Ru",2
"Huang, Mu-Hsuan","Wu, Ling-Ling",3
"Lin, Aiwen","Peng, Yuling",2
"Lin, Aiwen","Liu, Fenglian",2
"West, Jevin D.","Bergstrom, Theodore",2
"West, Jevin D.","Bergstrom, Carl T.",3
"Porter, Alan L.","Zhang, Yi",3
"Porter, Alan L.","Shapira, Philip",2
"Porter, Alan L.","Zhou, Xiao",3
"Porter, Alan L.","Rafols, Ismael",3
"Porter, Alan L.","Carley, Stephen",3
"Porter, Alan L.","Youtie, Jan",5
"Fang, Hui","Liu, Xuan Zhen",6
"CANO, V","LIND, NC",2
"Su, Chunke","Contractor, Noshir",2
"Suzuki, Shinji","Nakamura, Hiroko",2
"Suzuki, Shinji","Kajikawa, Yuya",2
"Van Raan, AFJ","Noyons, ECM",2
"Chen, Chuanfu","Chiu, Kuei",2
"Chen, Chuanfu","Sun, Kai",2
"Shapira, B","Elovici, Y",2
"Shapira, B","Kuflik, T",2
"Wouters, P","Leydesdorff, L",2
"Yochai, W.","Buranathiti, T.",2
"Yochai, W.","Sombatsompop, N.",4
"Yochai, W.","Markpin, T.",4
"Yochai, W.","Premkamolnetr, N.",4
"Yochai, W.","Boonradsamee, B.",2
"Yochai, W.","Ratchatahirun, P.",4
"De Moor, Bart","Liu, Xinhai",3
"De Moor, Bart","Janssens, Frizo",4
"De Moor, Bart","Debackere, Koenraad",2
"De Moor, Bart","Glanzel, Wolfgang",4
"De Moor, Bart","Rodriguez, Victor",2
"Lin, Hongfei","Lin, Yuan",2
"Lin, Hongfei","Sun, Xiaoling",3
"Lin, Hongfei","Huang, Jimmy Xiangji",2
"Lin, Hongfei","Ye, Zheng",2
"Lin, Hongfei","Xu, Kan",2
"Liu, Fang","Wan, Xiaojun",2
"Miguel, Sandra","Herrero-Solana, Victor",2
"Miguel, Sandra","de Moya-Anegon, Felix",4
"Miguel, Sandra","Moya-Anegon, Felix",2
"Miguel, Sandra","Chinchilla-Rodriguez, Zaida",4
"Aleixandre-Benavent, Rafael","Carlos Valderrama-Zurian, Juan",3
"Aleixandre-Benavent, Rafael","Gonzalez-Alcaide, Gregorio",3
"Aleixandre-Benavent, Rafael","Navarro-Molina, Carolina",2
"Aleixandre-Benavent, Rafael","Miguel-Dasit, Alberto",2
"Palakal, M","Mostafa, J",2
"Palakal, M","Raje, R",2
"Palakal, M","Mukhopadhyay, S",2
"Palakal, M","Peng, S",2
"Marchant, Thierry","Bouyssou, Denis",4
"MIQUEL, JF","OKUBO, Y",3
"MIQUEL, JF","DORE, JC",3
"Kao, Chiang","Pao, Hwei-Lan",2
"Wu, Jiang","Ding, Xiu-Hao",2
"Wu, Jiang","Lozano, Sergi",2
"Miller, D","Ford, N",4
"Miller, D","Moss, N",4
"Park, Han Woo","Moon, Junghoon",2
"Park, Han Woo","Khan, Gohar Feroz",5
"Park, Han Woo","Leydesdorff, Loet",6
"Park, Han Woo","Barnett, George A.",3
"Park, Han Woo","Cho, Seong Eun",2
"Park, Han Woo","Choi, Sujin",2
"Kraker, Peter","Gorraiz, Juan",2
"Kraker, Peter","Schloegl, Christian",2
"Kraker, Peter","Gumpenberger, Christian",2
"Kraker, Peter","Jack, Kris",2
"Gasser, Les","Twidale, Michael B.",2
"Gasser, Les","Smith, Linda C.",2
"Gasser, Les","Stvilia, Besiki",2
"Fernandez-Ramos, Andres","Doucet, Anne-Vinciane",2
"Fernandez-Ramos, Andres","Pinto, Maria",2
"Fernandez-Ramos, Andres","Guerrero, David",2
"Olmeda-Gomez, Carlos","Perianes-Rodriguez, Antonio",2
"Olmeda-Gomez, Carlos","Moya-Anegon, Felix",2
"Chen, Shiji","Arsenault, Clement",2
"Chen, Shiji","Lariviere, Vincent",2
"Zhu, Xiaomin","Liao, Jianxin",3
"Debackere, K.","Meyer, M.",2
"Debackere, K.","Glanzel, W.",2
"Jin, Yidan","Li, Wenyuze",2
"Jin, Yidan","Qiao, Lili",2
"Liu, Xiaozhong","Ding, Ying",2
"Liu, Xiaozhong","Guo, Chun",3
"van Raan, AFJ","Visser, MS",2
"van Raan, AFJ","van Vuren, HG",2
"van Raan, AFJ","Rinia, EJ",2
"van Raan, AFJ","Moed, HF",2
"van Raan, AFJ","van Leeuwen, TN",4
"Luis Ortega, Jose","Aguillo, Isidro F.",8
"Robert, C","Arreto, CD",2
"Robert, C","Gaudy, JF",2
"Jacobs, D","Ingwersen, P",2
"Bulajic, Milica","Martic, Milan",2
"Bulajic, Milica","Jeremic, Veljko",3
"Li, L","Zhang, FL",2
"Rey, J","Martin, MJ",2
"Cole, Fletcher T. H.","Davis, Mari",2
"Cole, Fletcher T. H.","Wilson, Concepcion S.",2
"Cole, Fletcher T. H.","Yu, Hairong",2
"Moed, Henk F.","Lopez-Illescas, Carmen",5
"Moed, Henk F.","Halevi, Gali",5
"Moed, Henk F.","Plume, Andrew",2
"Moed, Henk F.","Moya-Anegon, Felix",2
"Moed, Henk F.","de Moya-Anegon, Felix",4
"Amara, Nabil","Halilem, Norrin",2
"Amara, Nabil","Landry, Rejean",4
"Smith, Linda C.","Twidale, Michael B.",2
"Smith, Linda C.","Stvilia, Besiki",2
"Dilevko, J","Gottlieb, L",2
"Cole, C","Spink, A",3
"Cole, C","Large, A",3
"Cole, C","Beheshti, J",3
"Cole, C","Brooks, M",2
"Cole, C","Leide, JE",2
"Sakata, Ichiro","Kajikawa, Yuya",3
"Sakata, Ichiro","Shibata, Naoki",2
"VERA, MI","KRAUSKOPF, M",2
"TIJSSEN, RJW","VANLEEUWEN, TN",2
"TIJSSEN, RJW","VANRAAN, AFJ",2
"Gimenez-Toledo, Elea","Manana-Rodriguez, Jorge",2
"Buchanan, Tom","Joinson, Adam N.",2
"Shen, Si","Wang, Dongbo",2
"Shen, Si","Su, Xinning",2
"Russell, Jane M.","Collazo-Reyes, Francisco",2
"Brooks, M","Large, A",2
"Brooks, M","Beheshti, J",2
"Chen, Zhulei","Wang, Jia",3
"Chen, Zhulei","Liu, Ting",2
"Chen, Zhulei","Yang, Lie",3
"Stanley, HE","Amaral, LAN",2
"Stanley, HE","Matia, K",2
"Huang, MH","Chen, DZ",3
"Huang, MH","Chang, HW",2
"Rosenkopf, Lori","Upham, S. Phineas",2
"Rosenkopf, Lori","Ungar, Lyle H.",2
"Wei, Chih-Ping","Lee, Yen-Hsien",2
"Vitali, Fabio","Peroni, Silvio",2
"Vitali, Fabio","Di Iorio, Angelo",2
"Aminpour, Farzaneh","Keshtkar, Abbas Ali",2
"Aminpour, Farzaneh","Kabiri, Payam",2
"Bordons, M","Zulueta, MA",3
"Bordons, M","Morillo, F",3
"Bordons, M","Fernandez, MT",4
"Bordons, M","Mendez, A",2
"Bordons, M","Gomez, I",6
"Bordons, M","Barrigon, S",2
"Stegmann, J","Grohmann, G",2
"Lin, Yang","Beheshti, Jamshid",2
"Lin, Yang","Large, Andrew",2
"Lin, Yang","Cole, Charles",2
"Gaudy, JF","Arreto, CD",2
"Scharnhorst, A","Bruckner, E",2
"Scharnhorst, A","Bonitz, M",3
"Moehrle, Martin G.","Gerken, Jan M.",2
"Costa, Luciano da F.","Amancio, Diego R.",3
"Costa, Luciano da F.","Oliveira, Osvaldo N., Jr.",2
"VOS, R","RIKKEN, F",2
"Reid, Edna","Chung, Wingyan",2
"Reid, Edna","Chen, Hsinchun",2
"Bassecoulard, E","Zitt, M",10
"Bassecoulard, E","Ramanana-Rahary, S",4
"Tsay, MY","Xu, H",2
"Tsay, MY","Wu, CW",2
"Tsay, MY","Ma, SS",2
"Lim, EP","Sun, A",2
"ALFENAAR, W","SPANGENBERG, JFA",2
"Huang, Chun-Yao","Chiang, I-Ping",2
"Padilla, Jose J.","Lynch, Christopher J.",2
"Padilla, Jose J.","Diallo, Saikou Y.",2
"Yoshikane, Fuyuki","Onodera, Natsuo",2
"Yoshikane, Fuyuki","Nozawa, Takayuki",2
"Yoshikane, Fuyuki","Suzuki, Takafumi",2
"Rosemblat, Graciela","Rindflesch, Thomas C.",2
"Rosemblat, Graciela","Shin, Dongwook",2
"Kim, Yangson","Lee, Soo Jeung",2
"Ma, Feng","Song, Yanhui",2
"Ma, Feng","Yang, Siluo",2
"Kumar, Sameer","Jan, Jariah Mohd.",2
"Zainab, A. N.","Abrizah, A.",2
"Zainab, A. N.","Raj, R. G.",2
"Chinchilla-Rodriguez, Zaida","Herrero-Solana, Victor",2
"Chinchilla-Rodriguez, Zaida","Moya-Anegon, Felix",3
"Chinchilla-Rodriguez, Zaida","Corera-Alvarez, Elena",3
"Chinchilla-Rodriguez, Zaida","Zacca-Gonzalez, Grisel",2
"Chinchilla-Rodriguez, Zaida","Vargas-Quesada, Benjamin",6
"Chinchilla-Rodriguez, Zaida","de Moya-Anegon, Felix",7
"Huang, Meng","Zhu, Donghua",2
"Huang, Meng","Wang, Xuefeng",2
"Li, Qiudan","Zeng, Daniel",2
"Molatudi, Mohohlo","Pouris, Anastassios",2
"GREENLEE, E","SMALL, H",3
"Seeber, Marco","Aguillo, Isidro",2
"Seeber, Marco","Barberio, Vitaliano",2
"Seeber, Marco","Lepori, Benedetto",3
"Wilkinson, David","Sud, Pardeep",2
"Wilkinson, David","Thelwall, Mike",6
"Fernandes, David","de Moura, Edleno S.",2
"Fernandes, David","da Silva, Altigran S.",2
"Okuwada, Kumi","Shirakawa, Nobuyuki",3
"Okuwada, Kumi","Furukawa, Takao",3
"Vishwanath, Arun","Chen, Hao",2
"Zhao, Zhi-Yun","Zhang, Xu",3
"Zhao, Zhi-Yun","Chen, Dar-Zen",3
"Zhao, Zhi-Yun","Zhao, Yun-Hua",3
"Zhao, Zhi-Yun","Lei, Xiao-Ping",3
"Zhao, Zhi-Yun","Zheng, Jia",2
"Yang, Guoliang","Rousseau, Ronald",2
"Yang, Guoliang","Yang, Liying",2
"Leide, John E.","Large, Andrew",2
"Leide, John E.","Beheshti, Jamshid",2
"Leide, John E.","Cole, Charles",2
"Leide, John E.","Julien, Charles-Antoine",2
"Barjak, Franz","Thelwall, Mike",2
"Lamirel, JC","Polanco, X",2
"Lamirel, JC","Francois, C",3
"Minguillo, David","Thelwall, Mike",2
"Beyth-Marom, Ruth","Bergman, Ofer",2
"Foo, Schubert","Ding, Ying",2
"Foo, Schubert","Jacob, Elin K.",2
"Foo, Schubert","Yan, Erjia",2
"Wilkinson, D","Musgrove, P",3
"Wilkinson, D","Li, XM",3
"Wilkinson, D","Thelwall, M",6
"Schiffauerova, Andrea","Ebadi, Ashkan",4
"Guerrero, David","Doucet, Anne-Vinciane",2
"Guerrero, David","Pinto, Maria",2
"Johnson, B","Ahmed, T",2
"Johnson, B","Peck, C",2
"Johnson, B","Oppenheim, C",2
"Anduckia, JC","Gomez, J",2
"Anduckia, JC","Gomez, YJ",2
"Huang, Hong","Joergensen, Corinne",2
"JIANG, GH","ZHAO, HZ",2
"Larsen, Birger","Eleazar Serrano-Lopez, Antonio",2
"Larsen, Birger","Carlos Garcia-Zorita, J.",2
"Larsen, Birger","Sanz-Casado, Elias",2
"Larsen, Birger","Schneider, Jesper W.",2
"Larsen, Birger","Ingwersen, Peter",5
"BORDONS, M","BARRIGON, S",2
"Wei, Jiuchang","Liang, Liang",2
"Xie, Qing","Zhu, Jia",2
"Xie, Qing","Saeed-Ul Hassan",2
"CALLON, M","COURTIAL, JP",6
"Hasanzadeh, Mohammad","Isfandyari-Moghaddam, Alireza",2
"Popovic, Zorica","Matic, Rada",2
"Popovic, Zorica","Vidakovic, Vera",2
"Popovic, Zorica","Stefanovic, Milena",2
"Popovic, Zorica","Smiljanic, Miroslava",2
"Popovic, Zorica","Bojovic, Srdan",2
"Visser, MS","Moed, HF",2
"Visser, MS","van Leeuwen, TN",3
"Tombros, Anastasios","Sahib, Nuzhah Gooda",3
"Tombros, Anastasios","Stockman, Tony",3
"Jeong, Seongkyoon","Choi, Jae Young",3
"Schloegl, Christian","Gorraiz, Juan",4
"Schloegl, Christian","Gumpenberger, Christian",2
"Schloegl, Christian","Jack, Kris",2
"WOUTERS, P","LEYDESDORFF, L",2
"KOCHEN, M","BLAIVAS, A",2
"Jensen, Eric C.","Beitzel, Steven M.",2
"Jensen, Eric C.","Frieder, Ophir",2
"Jensen, Eric C.","Grossman, David",2
"SHARMA, L","NAGPAUL, PS",2
"von Eye, Alexander","Schui, Gabriel",2
"von Eye, Alexander","Krampen, Guenter",2
"Daraio, Cinzia","Bonaccorsi, Andrea",3
"Daraio, Cinzia","Ruocco, Giancarlo",2
"Blandford, Ann","Rimmer, Jon",2
"Blandford, Ann","Warwick, Claire",2
"Blandford, Ann","Pontis, Sheila",2
"Blandford, Ann","Gow, Jeremy",2
"Blandford, Ann","Makri, Stephann",3
"Blandford, Ann","Buchanan, George",2
"Marx, Werner","Cardona, Manuel",2
"Marx, Werner","Schier, Hermann",4
"Marx, Werner","Leydesdorff, Loet",3
"Marx, Werner","Bornmann, Lutz",22
"Marx, Werner","Thor, Andreas",2
"Marx, Werner","Daniel, Hans-Dieter",5
"Prieto, Faustino","Maria Sarabia, Jose",2
"Stevenson, Jennifer Ann","Zhang, Jin",2
"Huang, Zhen","Liu, Yu",2
"Bini, LM","Carvalho, P",2
"Choe, Young Chan","Moon, Junghoon",2
"VANHEERINGEN, A","DIJKWEL, PA",2
"Walters, William H.","Wilder, Esther Isabelle",2
"LIPATOV, YS","DENISENKO, LV",2
"Schulz, Peter A.","Manganote, Edmilson J. T.",2
"Chan, S. C. F.","Ho, K. S.",2
"Chan, S. C. F.","Lee, D. L.",2
"Chan, S. C. F.","Luk, R. W. P.",2
"Chan, S. C. F.","Dang, E. K. F.",2
"Wang, Jian","Leydesdorff, Loet",2
"Wang, Jian","Bornmann, Lutz",2
"Wang, Jian","Hicks, Diana",3
"Costa, L. da F.","Oliveira, O. N., Jr.",2
"Costa, L. da F.","Silva, F. N.",2
"Sinha, Ankur","Wallenius, Jyrki",2
"Sinha, Ankur","Malo, Pekka",2
"Sinha, Ankur","Korhonen, Pekka",2
"Fry, Jenny","Wouters, Paul",2
"Diospatonyi, Ildiko","Braun, Tibor",3
"Diospatonyi, Ildiko","Zsindely, Sandor",3
"Diospatonyi, Ildiko","Zador, Erika",3
"Yoshikane, F","Kageura, K",3
"Yoshikane, F","Tsuji, K",2
"Zhang, Guo","Ding, Ying",4
"Zhang, Guo","Chambers, Tamy",3
"Lin, Yuan","Xu, Kan",2
"Pouris, Anastassios","Inglesi-Lotz, Roula",2
"Pouris, Anastassios","Pouris, Anthipi",2
"Barabesi, L.","Baccini, A.",2
"Lin, Nan","Qin, Zheng",2
"Lin, Nan","Ding, Ying",2
"Lin, Nan","Li, Daifeng",2
"Lin, Nan","Dong, Tianxi",2
"Lin, Nan","Tang, Jie",2
"Lin, Nan","He, Bing",2
